Massnahme;Produktbezeichnung;Einheit.Produkt;Lohnkosten Fr./AE;Spezial ja/nein;Bemerkungen;;;
Aussaat Hauptkultur;Saatkartoffeln, Innovator f. Saat;dt;410;0;;;;
Aussaat Hauptkultur;Saatkartoffeln, normal Fontane;dt;410;0;;;;
Aussaat Hauptkultur;Saatkartoffeln,Lady Christl;dt;410;0;;;;
Aussaat Hauptkultur;Kartoffeln, Pflanzgut normal;dt;410;0;;;;
Aussaat Hauptkultur;Kartoffeln, Pflanzgut normal, gebeizt Agria;dt;410;0;;;;
Aussaat Hauptkultur;Kartoffeln, Pflanzgut normal, gebeizt Annabelle;dt;410;0;;;;
Aussaat Hauptkultur;Saatkartoffeln, Markies;dt;410;0;;;;
Aussaat Hauptkultur;Saatkartoffeln,Innovator;dt;410;0;;;;
Aussaat Hauptkultur;Futterkartoffeln;;410;0;;;;
Aussaat Hauptkultur;Zuckerrübensaatgu, monogerm pilliert, mit Gaucho;Dose;180;0;;;;
Aussaat Hauptkultur;Betterave sucrière, semence monogerme enrobée, avec Gaucho;Dose;180;0;;;;
Aussaat Hauptkultur;Futterzuckerrübensaatgut pilliert, gebeizt, mit Gaucho;Dose;180;0;;;;
Aussaat Hauptkultur;Futterzuckerrübensaatgut, pilliert, gebeizt;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrübensaatgut, monogerm pilliert, ohne Gaucho;Dose;180;0;;;;
Aussaat Hauptkultur;Betterave sucrière, semence monogerme enrobée, avec Gaucho Ernestina;Dose;180;0;;;;
Aussaat Hauptkultur;Betterave sucrière, semence monogerme enrobée, sans Gaucho;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrüben, Saatgut gebeizt;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrübensaatgu, monogerm pilliert, mit Gaucho Debora;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrübensaatgut Felixa (Gaucho);Dose;180;0;;;;
Aussaat Hauptkultur;Halbzuckerrübensaatgut pilliert, gebeizt, mit Gaucho;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrüben Robinson;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrübensaatgu, monogerm pilliert, mit Gaucho Budera;Dose;180;0;;;;
Aussaat Hauptkultur;Futterrüben Jamon;Dose;180;0;;;;
Aussaat Hauptkultur;Futterrübensaatgut Jamon, ungebeizt BIO;Stk.;180;0;;;;
Aussaat Hauptkultur;Schnittblumen, Setzlinge;100 Stk.;180;0;;;;
Aussaat Hauptkultur;Semence betterave fourragère, enrobée, traitée, avec Gaucho;Dose;180;0;;;;
Aussaat Hauptkultur;Betterave fourragère, semence traitée;Dose;180;0;;;;
Aussaat Hauptkultur;Betterave, semences;1000 Stk.;180;0;;;;
Aussaat Hauptkultur;Wintergerste, Saatgut gebeizt;dt;180;0;;;;
Aussaat Hauptkultur;Futterrüben Asterix;Dose;180;0;;;;
Aussaat Hauptkultur;ZR-Saatg, monogerm pilliert, Ernestina mit Gaucho;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrüben Delice  (Gaucho);Dose;180;0;;;;
Aussaat Hauptkultur;Schweizer 330 ;kg;180;0;;;;
Aussaat Hauptkultur;schweizer 340 ;kg;180;0;;;;
Aussaat Hauptkultur;ZR-Saatg, monogerm pilliert, Debora mit Gaucho, gebeizt;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrüben, Saatgut;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrübensaatgu, monogerm pilliert, mit Gaucho  Delice;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrübensaatgut, Robinson, mit Gaucho;Dose;180;0;;;;
Aussaat Hauptkultur;Zuckerrüben;;180;0;;;;
Aussaat Hauptkultur;Winterweizen, Saatgut gebeizt;dt;150;0;Säwalze;;;
Aussaat Hauptkultur;Winterweizen, Saatgut gebeizt Arina;dt;150;0;Säwalze;;;
Aussaat Hauptkultur;Winterweizen, Saatgut gebeizt winnetou;dt;150;0;Säwalze;;;
Aussaat Hauptkultur;Winterraps, Saatgut gebeizt;Dose;150;0;;;;
Aussaat Hauptkultur;Colza, semences traitées;Dose;150;0;;;;
Aussaat Hauptkultur;Gaucho;g;150;0;;;;
Aussaat Hauptkultur;Semence de grains de maïs;Dose;150;0;;;;
Aussaat Hauptkultur;EFA;ml;150;0;;;;
Aussaat Hauptkultur;Salat, plantons;100 Stk.;150;0;;;;
Aussaat Hauptkultur;Cruiser;ml;150;0;;;;
Aussaat Hauptkultur;Karotten,  Samen;1000 Stk.;150;0;;;;
Aussaat Hauptkultur;Winterraps, Saatgut gebeizt Vispy;Dose;150;0;;;;
Aussaat Hauptkultur;Paprika, plantons;100 Stk.;150;0;;;;
Aussaat Hauptkultur;Tomate, plantons;100 Stk.;150;0;;;;
